sourceName,region,system,side,signal,detail,triangles
Serratus anterior muscle.e5l,shoulder,insertion,l,parent,Serratus anterior muscle.l,145
Serratus anterior muscle.e5r,shoulder,insertion,r,parent,Serratus anterior muscle.r,145
Serratus anterior muscle.e6l,shoulder,insertion,l,parent,Serratus anterior muscle.l,210
Serratus anterior muscle.e6r,shoulder,insertion,r,parent,Serratus anterior muscle.r,210
Serratus anterior muscle.e7l,shoulder,insertion,l,parent,Serratus anterior muscle.l,133
Serratus anterior muscle.e7r,shoulder,insertion,r,parent,Serratus anterior muscle.r,133
Serratus anterior muscle.e8l,shoulder,insertion,l,parent,Serratus anterior muscle.l,98
Serratus anterior muscle.el,shoulder,insertion,l,parent,Serratus anterior muscle.l,128
Serratus anterior muscle.er,shoulder,insertion,r,parent,Serratus anterior muscle.r,128
Serratus anterior muscle.ol,shoulder,insertion,l,parent,Serratus anterior muscle.l,306
Serratus anterior muscle.or,shoulder,insertion,r,parent,Serratus anterior muscle.r,306
Sternocostal head of pectoralis major muscle.e1l,shoulder,insertion,l,parent,Sternocostal head of pectoralis major muscle.l,336
Sternocostal head of pectoralis major muscle.e1r,shoulder,insertion,r,parent,Sternocostal head of pectoralis major muscle.r,336
Sternocostal head of pectoralis major muscle.e2l,shoulder,insertion,l,parent,Sternocostal head of pectoralis major muscle.l,164
Sternocostal head of pectoralis major muscle.e2r,shoulder,insertion,r,parent,Sternocostal head of pectoralis major muscle.r,164
Sternocostal head of pectoralis major muscle.el,shoulder,insertion,l,parent,Sternocostal head of pectoralis major muscle.l,466
Sternocostal head of pectoralis major muscle.er,shoulder,insertion,r,parent,Sternocostal head of pectoralis major muscle.r,466
Subclavius muscle.ol,shoulder,insertion,l,parent,Subclavius muscle.l,47
Subclavius muscle.or,shoulder,insertion,r,parent,Subclavius muscle.r,47
Subscapularis muscle.el,shoulder,insertion,l,parent,Subscapularis muscle.l,28
Subscapularis muscle.er,shoulder,insertion,r,parent,Subscapularis muscle.r,28
Subscapularis muscle.ol,shoulder,insertion,l,parent,Subscapularis muscle.l,1319
Subscapularis muscle.or,shoulder,insertion,r,parent,Subscapularis muscle.r,1319
Supraspinatus muscle.el,shoulder,insertion,l,parent,Supraspinatus muscle.l,89
Supraspinatus muscle.er,shoulder,insertion,r,parent,Supraspinatus muscle.r,89
Supraspinatus muscle.ol,shoulder,insertion,l,parent,Supraspinatus muscle.l,598
Supraspinatus muscle.or,shoulder,insertion,r,parent,Supraspinatus muscle.r,598
Teres major muscle.ol,shoulder,insertion,l,parent,Teres major muscle.l,353
Teres major muscle.or,shoulder,insertion,r,parent,Teres major muscle.r,353
Teres minor muscle.el,shoulder,insertion,l,parent,Teres minor muscle.l,127
Teres minor muscle.er,shoulder,insertion,r,parent,Teres minor muscle.r,127
Teres minor muscle.ol,shoulder,insertion,l,parent,Teres minor muscle.l,408
Teres minor muscle.or,shoulder,insertion,r,parent,Teres minor muscle.r,408
Transverse part of trapezius muscle.ol,shoulder,insertion,l,parent,Transverse part of trapezius muscle.l,214
Transverse part of trapezius muscle.or,shoulder,insertion,r,parent,Transverse part of trapezius muscle.r,214
(Abdominal part of pectoralis major muscle).l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1508
(Abdominal part of pectoralis major muscle).r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1508
Acromial part of deltoid muscle.l,shoulder,muscular,l,hierarchy,Scapulohumeral muscles,2964
Acromial part of deltoid muscle.r,shoulder,muscular,r,hierarchy,Scapulohumeral muscles,2964
Ascending part of trapezius muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,4596
Ascending part of trapezius muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,4596
Clavicular head of pectoralis major muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,850
Clavicular head of pectoralis major muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,850
Clavicular part of deltoid muscle.l,shoulder,muscular,l,hierarchy,Scapulohumeral muscles,2902
Clavicular part of deltoid muscle.r,shoulder,muscular,r,hierarchy,Scapulohumeral muscles,2902
Clavipectoral fascia.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1280
Clavipectoral fascia.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1280
Coracobrachial bursa.l,shoulder,muscular,l,centroid,z=1.377 |x|=0.148 y=+0.011,352
Coracobrachial bursa.r,shoulder,muscular,r,centroid,z=1.377 |x|=0.148 y=+0.011,352
Coracobrachialis muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1160
Coracobrachialis muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1160
Deltoid fascia.l,shoulder,muscular,l,centroid,z=1.346 |x|=0.163 y=+0.044,3541
Deltoid fascia.r,shoulder,muscular,r,centroid,z=1.346 |x|=0.163 y=+0.044,3541
Descending part of trapezius muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,6760
Descending part of trapezius muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,6760
Infraspinatus muscle.l,shoulder,muscular,l,hierarchy,Scapulohumeral muscles,3166
Infraspinatus muscle.r,shoulder,muscular,r,hierarchy,Scapulohumeral muscles,3166
Latissimus dorsi muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,21580
Latissimus dorsi muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,21580
Pectoral fascia.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,2709
Pectoral fascia.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,2709
Pectoralis minor muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,4142
Pectoralis minor muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,4142
Rhomboid major muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,4800
Rhomboid major muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,4800
Rhomboid minor muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1494
Rhomboid minor muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1494
Scapular spinal part of deltoid muscle.l,shoulder,muscular,l,hierarchy,Scapulohumeral muscles,4378
Scapular spinal part of deltoid muscle.r,shoulder,muscular,r,hierarchy,Scapulohumeral muscles,4378
Serratus anterior muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,25240
Serratus anterior muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,25240
Sternocostal head of pectoralis major muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,3222
Sternocostal head of pectoralis major muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,3222
Subacromial bursa.l,shoulder,muscular,l,centroid,z=1.406 |x|=0.161 y=+0.033,352
Subacromial bursa.r,shoulder,muscular,r,centroid,z=1.406 |x|=0.161 y=+0.033,352
Subclavius muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,794
Subclavius muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,794
Subcutaneous acromial bursa.l,shoulder,muscular,l,centroid,z=1.415 |x|=0.161 y=+0.044,352
Subcutaneous acromial bursa.r,shoulder,muscular,r,centroid,z=1.415 |x|=0.161 y=+0.044,352
Subdeltoid bursa.l,shoulder,muscular,l,centroid,z=1.392 |x|=0.191 y=+0.021,352
Subdeltoid bursa.r,shoulder,muscular,r,centroid,z=1.392 |x|=0.191 y=+0.021,352
Subscapularis muscle.l,shoulder,muscular,l,hierarchy,Scapulohumeral muscles,2954
Subscapularis muscle.r,shoulder,muscular,r,hierarchy,Scapulohumeral muscles,2954
Subtendinous bursa of infraspinatus muscle.l,shoulder,muscular,l,centroid,z=1.389 |x|=0.181 y=+0.043,352
Subtendinous bursa of infraspinatus muscle.r,shoulder,muscular,r,centroid,z=1.389 |x|=0.181 y=+0.043,352
Subtendinous bursa of teres major muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,352
Subtendinous bursa of teres major muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,352
Subtendinous bursa of trapezius muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,352
Subtendinous bursa of trapezius muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,352
Supraspinatus muscle.l,shoulder,muscular,l,hierarchy,Scapulohumeral muscles,1430
Supraspinatus muscle.r,shoulder,muscular,r,hierarchy,Scapulohumeral muscles,1430
Teres major muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1154
Teres major muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,1154
Teres minor muscle.l,shoulder,muscular,l,hierarchy,Scapulohumeral muscles,1522
Teres minor muscle.r,shoulder,muscular,r,hierarchy,Scapulohumeral muscles,1522
Transverse part of trapezius muscle.l,shoulder,muscular,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,2992
Transverse part of trapezius muscle.r,shoulder,muscular,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,2992
Clavicle.l,shoulder,skeletal,l,hierarchy,Bones of pectoral girdle,1550
Clavicle.r,shoulder,skeletal,r,hierarchy,Bones of pectoral girdle,1550
Humerus.l,shoulder,skeletal,l,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,4280
Humerus.r,shoulder,skeletal,r,override,scapular / glenohumeral muscles and the humerus: the shoulder to a clinician,4280
Scapula.l,shoulder,skeletal,l,hierarchy,Bones of pectoral girdle,25326
Scapula.r,shoulder,skeletal,r,hierarchy,Bones of pectoral girdle,25326
Anterior longitudinal ligament,thoracic,articular,,override,single objects spanning the whole column; placed at their middle,560
Costotransverse ligament.l,thoracic,articular,l,hierarchy,Thoracic joints,88
Costotransverse ligament.r,thoracic,articular,r,hierarchy,Thoracic joints,88
External intercostal membrane.l,thoracic,articular,l,override,act on the ribs,748
External intercostal membrane.r,thoracic,articular,r,override,act on the ribs,748
Internal intercostal membrane.l,thoracic,articular,l,override,act on the ribs,515
Internal intercostal membrane.r,thoracic,articular,r,override,act on the ribs,515
Interspinous ligaments,thoracic,articular,,override,single objects spanning the whole column; placed at their middle,48
Intervertebral disc T1-T2,thoracic,articular,,override,thoracic level,1252
Intervertebral disc T10-T11,thoracic,articular,,override,thoracic level,2870
Intervertebral disc T11-T12,thoracic,articular,,override,thoracic level,3392
Intervertebral disc T12-L1,thoracic,articular,,override,thoracic level,3328
Intervertebral disc T2-T3,thoracic,articular,,override,thoracic level,1324
Intervertebral disc T3-T4,thoracic,articular,,override,thoracic level,1360
Intervertebral disc T4-T5,thoracic,articular,,override,thoracic level,1630
Intervertebral disc T5-T6,thoracic,articular,,override,thoracic level,1738
Intervertebral disc T6-T7,thoracic,articular,,override,thoracic level,2388
Intervertebral disc T7-T8,thoracic,articular,,override,thoracic level,2658
Intervertebral disc T8-T9,thoracic,articular,,override,thoracic level,2890
Intervertebral disc T9-T10,thoracic,articular,,override,thoracic level,1248
Intra-articular ligament of head of rib,thoracic,articular,,hierarchy,Thoracic joints,18
Intra-articular ligament of head of rib.r,thoracic,articular,r,hierarchy,Thoracic joints,18
Ligamenta flava,thoracic,articular,,override,single objects spanning the whole column; placed at their middle,540
Nucleus pulposus T1-T2,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T10-T11,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T11-T12,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T12-L1,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T2-T3,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T3-T4,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T4-T5,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T5-T6,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T6-T7,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T7-T8,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T8-T9,thoracic,articular,,override,thoracic level,960
Nucleus pulposus T9-T10,thoracic,articular,,override,thoracic level,960
Posterior longitudinal ligament,thoracic,articular,,override,single objects spanning the whole column; placed at their middle,864
Radiate ligament of head of rib.l,thoracic,articular,l,hierarchy,Thoracic joints,288
Radiate ligament of head of rib.r,thoracic,articular,r,hierarchy,Thoracic joints,288
Supraspinous ligament,thoracic,articular,,override,single objects spanning the whole column; placed at their middle,84
Diaphragm.o1l,thoracic,insertion,l,parent,Diaphragm,98
Diaphragm.o1r,thoracic,insertion,r,parent,Diaphragm,98
Diaphragm.o2l,thoracic,insertion,l,parent,Diaphragm,54
Diaphragm.o2r,thoracic,insertion,r,parent,Diaphragm,54
Diaphragm.o3l,thoracic,insertion,l,parent,Diaphragm,29
Diaphragm.o3r,thoracic,insertion,r,parent,Diaphragm,29
Diaphragm.o4l,thoracic,insertion,l,parent,Diaphragm,488
Diaphragm.o4r,thoracic,insertion,r,parent,Diaphragm,488
Diaphragm.o5l,thoracic,insertion,l,parent,Diaphragm,85
Diaphragm.o5r,thoracic,insertion,r,parent,Diaphragm,85
Diaphragm.ol,thoracic,insertion,l,parent,Diaphragm,257
Diaphragm.or,thoracic,insertion,r,parent,Diaphragm,257
Levatores longi costarum.e10l,thoracic,insertion,l,parent,Levatores longi costarum.l,35
Levatores longi costarum.e10r,thoracic,insertion,r,parent,Levatores longi costarum.r,35
Levatores longi costarum.e1l,thoracic,insertion,l,parent,Levatores longi costarum.l,92
Levatores longi costarum.e1r,thoracic,insertion,r,parent,Levatores longi costarum.r,92
Levatores longi costarum.e2l,thoracic,insertion,l,parent,Levatores longi costarum.l,92
Levatores longi costarum.e2r,thoracic,insertion,r,parent,Levatores longi costarum.r,92
Levatores longi costarum.e3l,thoracic,insertion,l,parent,Levatores longi costarum.l,75
Levatores longi costarum.e3r,thoracic,insertion,r,parent,Levatores longi costarum.r,75
Levatores longi costarum.e4l,thoracic,insertion,l,parent,Levatores longi costarum.l,80
Levatores longi costarum.e4r,thoracic,insertion,r,parent,Levatores longi costarum.r,80
Levatores longi costarum.e5l,thoracic,insertion,l,parent,Levatores longi costarum.l,47
Levatores longi costarum.e5r,thoracic,insertion,r,parent,Levatores longi costarum.r,47
Levatores longi costarum.e6l,thoracic,insertion,l,parent,Levatores longi costarum.l,65
Levatores longi costarum.e6r,thoracic,insertion,r,parent,Levatores longi costarum.r,65
Levatores longi costarum.e7l,thoracic,insertion,l,parent,Levatores longi costarum.l,166
Levatores longi costarum.e7r,thoracic,insertion,r,parent,Levatores longi costarum.r,166
Levatores longi costarum.e8l,thoracic,insertion,l,parent,Levatores longi costarum.l,132
Levatores longi costarum.e8r,thoracic,insertion,r,parent,Levatores longi costarum.r,132
Levatores longi costarum.e9l,thoracic,insertion,l,parent,Levatores longi costarum.l,152
Levatores longi costarum.e9r,thoracic,insertion,r,parent,Levatores longi costarum.r,152
Levatores longi costarum.el,thoracic,insertion,l,parent,Levatores longi costarum.l,56
Levatores longi costarum.er,thoracic,insertion,r,parent,Levatores longi costarum.r,56
Longissimus thoracis muscle.e10l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,51
Longissimus thoracis muscle.e10r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,51
Longissimus thoracis muscle.e11l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,16
Longissimus thoracis muscle.e11r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,16
Longissimus thoracis muscle.e12l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,36
Longissimus thoracis muscle.e12r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,36
Longissimus thoracis muscle.e13l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,28
Longissimus thoracis muscle.e13r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,28
Longissimus thoracis muscle.e14l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,36
Longissimus thoracis muscle.e14r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,36
Longissimus thoracis muscle.e15l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,10
Longissimus thoracis muscle.e15r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,10
Longissimus thoracis muscle.e16l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,24
Longissimus thoracis muscle.e16r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,24
Longissimus thoracis muscle.e17l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,19
Longissimus thoracis muscle.e17r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,19
Longissimus thoracis muscle.e18l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,44
Longissimus thoracis muscle.e18r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,44
Longissimus thoracis muscle.e19l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,19
Longissimus thoracis muscle.e19r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,19
Longissimus thoracis muscle.e1l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,67
Longissimus thoracis muscle.e1r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,67
Longissimus thoracis muscle.e20l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,40
Longissimus thoracis muscle.e20r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,40
Longissimus thoracis muscle.e21l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,27
Longissimus thoracis muscle.e21r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,27
Longissimus thoracis muscle.e22l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,21
Longissimus thoracis muscle.e22r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,21
Longissimus thoracis muscle.e23l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,18
Longissimus thoracis muscle.e23r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,18
Longissimus thoracis muscle.e24l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,32
Longissimus thoracis muscle.e24r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,32
Longissimus thoracis muscle.e25l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,23
Longissimus thoracis muscle.e25r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,23
Longissimus thoracis muscle.e26l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,43
Longissimus thoracis muscle.e26r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,43
Longissimus thoracis muscle.e2l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,50
Longissimus thoracis muscle.e2r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,50
Longissimus thoracis muscle.e3l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,35
Longissimus thoracis muscle.e3r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,35
Longissimus thoracis muscle.e4l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,50
Longissimus thoracis muscle.e4r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,50
Longissimus thoracis muscle.e5l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,27
Longissimus thoracis muscle.e5r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,27
Longissimus thoracis muscle.e6l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,63
Longissimus thoracis muscle.e6r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,63
Longissimus thoracis muscle.e7l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,47
Longissimus thoracis muscle.e7r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,47
Longissimus thoracis muscle.e8l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,33
Longissimus thoracis muscle.e8r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,33
Longissimus thoracis muscle.e9l,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,28
Longissimus thoracis muscle.e9r,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,28
Longissimus thoracis muscle.el,thoracic,insertion,l,parent,Longissimus thoracis muscle.l,24
Longissimus thoracis muscle.er,thoracic,insertion,r,parent,Longissimus thoracis muscle.r,24
Serratus posterior inferior muscle.e1l,thoracic,insertion,l,parent,Serratus posterior inferior muscle.l,101
Serratus posterior inferior muscle.e2l,thoracic,insertion,l,parent,Serratus posterior inferior muscle.l,46
Serratus posterior inferior muscle.e3l,thoracic,insertion,l,parent,Serratus posterior inferior muscle.l,60
Serratus posterior inferior muscle.el,thoracic,insertion,l,parent,Serratus posterior inferior muscle.l,98
Serratus posterior superior muscle.e1l,thoracic,insertion,l,parent,Serratus posterior superior muscle.l,149
Serratus posterior superior muscle.e2l,thoracic,insertion,l,parent,Serratus posterior superior muscle.l,382
Serratus posterior superior muscle.e3l,thoracic,insertion,l,parent,Serratus posterior superior muscle.l,297
Serratus posterior superior muscle.el,thoracic,insertion,l,parent,Serratus posterior superior muscle.l,155
Transversus thoracis muscle.o1l,thoracic,insertion,l,parent,Transversus thoracis muscle.l,64
Transversus thoracis muscle.o1r,thoracic,insertion,r,parent,Transversus thoracis muscle.r,64
Transversus thoracis muscle.ol,thoracic,insertion,l,parent,Transversus thoracis muscle.l,264
Transversus thoracis muscle.or,thoracic,insertion,r,parent,Transversus thoracis muscle.r,264
Diaphragm,thoracic,muscular,,override,act on the ribs,9592
Diaphragmatic fascia,thoracic,muscular,,override,act on the ribs,4708
External intercostal muscles.l,thoracic,muscular,l,override,act on the ribs,41410
External intercostal muscles.r,thoracic,muscular,r,override,act on the ribs,41410
Iliocostalis thoracis muscle.l,thoracic,muscular,l,override,named thoracic part of a long back muscle,5772
Iliocostalis thoracis muscle.r,thoracic,muscular,r,override,named thoracic part of a long back muscle,5772
Innermost intercostal muscles.l,thoracic,muscular,l,override,act on the ribs,38254
Innermost intercostal muscles.r,thoracic,muscular,r,override,act on the ribs,38254
Internal intercostal muscles.l,thoracic,muscular,l,override,act on the ribs,40184
Internal intercostal muscles.r,thoracic,muscular,r,override,act on the ribs,40184
Interspinales thoracis muscles.l,thoracic,muscular,l,override,act on the ribs,198
Interspinales thoracis muscles.r,thoracic,muscular,r,override,act on the ribs,198
Levatores breves costarum.l,thoracic,muscular,l,override,act on the ribs,2690
Levatores breves costarum.r,thoracic,muscular,r,override,act on the ribs,2690
Levatores longi costarum.l,thoracic,muscular,l,override,act on the ribs,5930
Levatores longi costarum.r,thoracic,muscular,r,override,act on the ribs,5930
Longissimus thoracis muscle.l,thoracic,muscular,l,override,named thoracic part of a long back muscle,9652
Longissimus thoracis muscle.r,thoracic,muscular,r,override,named thoracic part of a long back muscle,9652
Multifidus thoracis muscle.l,thoracic,muscular,l,override,named thoracic part of a long back muscle,3902
Multifidus thoracis muscle.r,thoracic,muscular,r,override,named thoracic part of a long back muscle,3902
Semispinalis thoracis muscle.l,thoracic,muscular,l,override,named thoracic part of a long back muscle,4972
Semispinalis thoracis muscle.r,thoracic,muscular,r,override,named thoracic part of a long back muscle,4972
Serratus posterior inferior muscle.l,thoracic,muscular,l,override,act on the ribs,8958
Serratus posterior inferior muscle.r,thoracic,muscular,r,override,act on the ribs,8958
Serratus posterior superior muscle.l,thoracic,muscular,l,override,act on the ribs,5518
Serratus posterior superior muscle.r,thoracic,muscular,r,override,act on the ribs,5518
Spinalis thoracis muscle.l,thoracic,muscular,l,override,named thoracic part of a long back muscle,5532
Spinalis thoracis muscle.r,thoracic,muscular,r,override,named thoracic part of a long back muscle,5532
Transversus thoracis muscle.l,thoracic,muscular,l,override,named thoracic part of a long back muscle,1670
Transversus thoracis muscle.r,thoracic,muscular,r,override,named thoracic part of a long back muscle,1670
Body of sternum,thoracic,skeletal,,hierarchy,Sternum,4466
Costal cartilage of eighth rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,652
Costal cartilage of eighth rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,652
Costal cartilage of fifth rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,1082
Costal cartilage of fifth rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,1082
Costal cartilage of first rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,462
Costal cartilage of first rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,462
Costal cartilage of fourth rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,746
Costal cartilage of fourth rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,746
Costal cartilage of ninth rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,488
Costal cartilage of ninth rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,488
Costal cartilage of second rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,568
Costal cartilage of second rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,568
Costal cartilage of seventh rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,2294
Costal cartilage of seventh rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,2294
Costal cartilage of sixth rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,1354
Costal cartilage of sixth rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,1354
Costal cartilage of tenth rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,378
Costal cartilage of tenth rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,378
Costal cartilage of third rib.l,thoracic,skeletal,l,hierarchy,Costal cartilages,600
Costal cartilage of third rib.r,thoracic,skeletal,r,hierarchy,Costal cartilages,600
Eighth rib.l,thoracic,skeletal,l,hierarchy,Ribs,8270
Eighth rib.r,thoracic,skeletal,r,hierarchy,Ribs,8270
Eleventh rib.l,thoracic,skeletal,l,hierarchy,Ribs,5034
Eleventh rib.r,thoracic,skeletal,r,hierarchy,Ribs,5034
Fifth rib.l,thoracic,skeletal,l,hierarchy,Ribs,9376
Fifth rib.r,thoracic,skeletal,r,hierarchy,Ribs,9376
First rib.l,thoracic,skeletal,l,hierarchy,Ribs,3210
First rib.r,thoracic,skeletal,r,hierarchy,Ribs,3210
Fourth rib.l,thoracic,skeletal,l,hierarchy,Ribs,8646
Fourth rib.r,thoracic,skeletal,r,hierarchy,Ribs,8646
Manubrium of sternum,thoracic,skeletal,,hierarchy,Sternum,2662
Ninth rib.l,thoracic,skeletal,l,hierarchy,Ribs,7778
Ninth rib.r,thoracic,skeletal,r,hierarchy,Ribs,7778
Second rib.l,thoracic,skeletal,l,hierarchy,Ribs,5364
Second rib.r,thoracic,skeletal,r,hierarchy,Ribs,5364
Seventh rib.l,thoracic,skeletal,l,hierarchy,Ribs,9776
Seventh rib.r,thoracic,skeletal,r,hierarchy,Ribs,9776
Sixth rib.l,thoracic,skeletal,l,hierarchy,Ribs,10132
Sixth rib.r,thoracic,skeletal,r,hierarchy,Ribs,10132
Tenth rib.l,thoracic,skeletal,l,hierarchy,Ribs,7026
